rank,homepage_url,num_funding_rounds,total_funding_usd,email,phone,facebook_url,linkedin_url,twitter_url,logo_url,days_since_founding,days_since_last_funding,status_acquired,status_closed,status_ipo,status_operating,category_groups_list_Energy,category_groups_list_Sustainability,employee_count_1-10,employee_count_11-50,employee_count_51-100
648324,1,1,0,1,0,0,1,0,1,4623.0,1197.0,0,0,0,1,1,0,1,0,0
540355,1,0,0,1,1,1,1,0,1,5719.0,0.0,1,0,0,0,1,0,0,0,1
692053,1,0,0,1,1,0,1,0,1,11563.0,0.0,0,0,0,1,1,0,0,0,1
109529,1,1,2000000,1,1,1,1,1,1,4258.0,3042.0,0,0,0,1,0,1,0,1,0
2601209,1,0,0,1,1,0,1,0,1,3892.0,0.0,0,0,0,1,1,0,0,1,0
1791843,1,0,0,1,1,1,1,1,1,45895.0,0.0,0,0,0,1,1,0,1,0,0
353945,1,0,0,1,1,0,1,0,1,6814.0,0.0,1,0,0,0,1,0,0,1,0
2261060,1,0,0,1,1,1,1,1,1,4623.0,0.0,0,0,0,1,0,1,1,0,0
961548,1,0,0,1,0,0,1,0,1,7910.0,0.0,0,0,0,1,1,0,0,1,0
1489250,1,0,0,1,1,0,1,0,1,0.0,0.0,0,0,0,1,1,0,0,1,0
2771342,1,0,0,1,0,0,1,0,1,0.0,0.0,0,0,0,1,1,0,0,1,0
937059,1,0,0,0,1,1,1,1,1,4258.0,0.0,0,0,0,1,1,0,1,0,0
2827130,1,0,0,1,1,1,1,0,1,3022.0,0.0,0,0,0,1,1,0,1,0,0
877002,1,0,0,0,0,1,1,1,1,4258.0,0.0,0,1,0,0,0,1,1,0,0
1747691,1,1,50000,1,1,1,1,1,1,5353.0,5233.0,0,0,0,1,0,1,1,0,0
2429325,1,0,0,1,1,0,1,0,1,6814.0,0.0,0,0,0,1,1,0,1,0,0
383776,1,0,0,1,1,0,1,1,1,11928.0,0.0,0,0,0,1,1,0,0,0,1
2413135,1,0,0,1,1,1,1,0,1,3892.0,0.0,0,1,0,0,1,0,0,1,0
1949683,1,0,0,1,1,0,1,1,1,6814.0,0.0,0,1,0,0,1,0,1,0,0
2313904,1,0,0,1,1,1,1,1,1,6449.0,0.0,0,0,0,1,1,0,0,1,0
152486,1,3,1375000,1,1,1,1,0,1,3527.0,2625.0,0,0,0,1,1,0,1,0,0
2449621,1,0,0,1,1,1,0,1,1,0.0,0.0,0,0,0,1,1,0,1,0,0
2519066,1,0,0,0,0,0,0,0,1,0.0,0.0,0,1,0,0,0,1,0,1,0
750556,1,1,0,1,1,0,1,0,1,6151.0,3030.0,0,0,0,1,1,0,0,1,0
2225270,1,1,0,0,1,0,0,0,1,6084.0,2982.0,0,1,0,0,1,0,1,0,0
2934721,1,0,0,0,1,0,1,1,1,4988.0,0.0,0,1,0,0,1,0,0,1,0
831366,1,0,0,1,1,1,1,1,1,4258.0,0.0,0,1,0,0,1,0,0,1,0
1806690,1,0,0,1,0,0,1,0,1,13024.0,0.0,0,0,0,1,1,0,0,0,1
912389,1,0,0,0,1,0,1,0,0,8641.0,0.0,0,1,0,0,1,0,1,0,0
1527093,1,1,0,1,1,0,0,1,1,7180.0,5843.0,0,0,0,1,1,0,1,0,0
1454184,1,0,0,1,0,1,0,1,1,4258.0,0.0,0,0,0,1,0,1,1,0,0
1650406,1,0,0,1,1,1,1,1,1,3103.0,0.0,0,0,0,1,1,0,1,0,0
1132591,1,1,0,0,1,1,1,1,1,9374.0,3180.0,0,0,0,1,0,1,0,1,0
2719922,1,0,0,1,1,1,1,1,1,3162.0,0.0,0,0,0,1,0,1,1,0,0
1872124,1,2,500000,0,1,0,0,0,1,7180.0,6359.0,0,0,0,1,1,0,0,1,0
2525867,1,0,0,1,0,0,0,0,1,13024.0,0.0,0,0,0,1,1,0,0,0,1
1235416,1,0,0,1,1,1,1,1,1,9736.0,0.0,0,0,0,1,1,0,1,0,0
915231,1,0,0,1,1,0,1,0,0,0.0,0.0,0,0,0,1,1,0,0,1,0
2213988,1,0,0,1,1,0,1,1,1,6084.0,0.0,0,0,0,1,1,0,1,0,0
459758,1,0,0,1,1,0,1,0,1,3527.0,0.0,0,0,0,1,1,0,1,0,0
1236727,1,1,0,1,1,1,1,0,1,4988.0,2903.0,0,0,0,1,0,1,1,0,0
417515,1,0,0,0,1,0,1,0,0,7180.0,0.0,1,0,0,0,1,0,0,0,1
599355,1,1,0,0,0,0,0,0,1,8275.0,6683.0,0,0,0,1,1,0,1,0,0
2915364,1,0,0,1,1,0,0,0,1,4623.0,0.0,0,1,0,0,1,0,1,0,0
2368210,1,0,0,0,1,0,1,0,1,4988.0,0.0,0,0,0,1,1,0,1,0,0
2348551,1,0,0,1,1,0,0,0,1,0.0,0.0,0,0,0,1,1,0,0,1,0
1580252,1,0,0,0,1,0,1,0,1,5719.0,0.0,0,0,0,1,1,0,1,0,0
